gene	degree
-	0.009072686992298766
16-5-5	0.00015824454056335058
A0A024QYV7	0.00021099272075113408
A0A024R5Q1	0.00031648908112670115
A0A024RA76	0.0002637409009389176
A0A087WWM3	5.274818018778352e-05
A0A384ME25	0.0002637409009389176
A0A4E0W6L3	5.274818018778352e-05
A1BG	0.0005802299820656187
A1CF	0.001424200865070155
A2A284	0.00015824454056335058
A2ABK9	5.274818018778352e-05
A2AE51	5.274818018778352e-05
A2BHY8	5.274818018778352e-05
A2M	0.006646270703660724
A2NUT2	5.274818018778352e-05
A4GNT	0.0010022154235678868
A6NCI0	0.00010549636037556704
A6ND79	5.274818018778352e-05
A6NG51	0.0006329781622534023
A6NKH4	5.274818018778352e-05
A6NLP3	5.274818018778352e-05
A6NLR5	0.0007384745226289693
A6NN06	5.274818018778352e-05
A6NN80	5.274818018778352e-05
A6PW31	0.00015824454056335058
A6XND8	5.274818018778352e-05
A7E1Y8	5.274818018778352e-05
A8K008	0.00021099272075113408
A8K147	5.274818018778352e-05
A8K1F4	0.004378098955586033
A8K1V4	5.274818018778352e-05
A8K251	0.0002637409009389176
A8K2I7	0.00015824454056335058
A8K2R3	0.00036923726131448466
A8K379	0.00015824454056335058
A8K3Q9	5.274818018778352e-05
A8K4Y7	5.274818018778352e-05
A8K5H9	0.0002637409009389176
A8K5M4	5.274818018778352e-05
A8K673	5.274818018778352e-05
A8K6G4	5.274818018778352e-05
A8K6K1	0.00021099272075113408
A8K6V0	0.00015824454056335058
A8K8G8	0.00010549636037556704
A8K8Y5	5.274818018778352e-05
A8K900	5.274818018778352e-05
A8K932	0.0005802299820656187
A8K940	5.274818018778352e-05
A8K9C1	5.274818018778352e-05
A8KA83	0.00021099272075113408
A8KAG1	5.274818018778352e-05
A8MTJ1	0.0016879417660090727
A8MWX0	5.274818018778352e-05
A9C4B2	0.00021099272075113408
A9R9P8	0.00010549636037556704
AAAS	0.007753982487604178
AACS	5.274818018778352e-05
AADAC	5.274818018778352e-05
AAG1	0.0010549636037556704
AAGAB	0.00036923726131448466
AAK1	0.005907796181031755
AAMDC	0.00015824454056335058
AAMP	0.0006329781622534023
AANAT	0.00042198544150226817
AAR2	0.00042198544150226817
AARD	0.0007912227028167528
